재료_아이디,재료_이름,제철,보관온도,100g당 열량,잘맞는 음식,안맞는 음식,효능,구입요령,손질법,조리법,보관법,설명
63,낙지,"9월, 10월, 11월, 12월, 1월, 2월",-20℃~0℃,55Kcal,표고버섯,,"피로회복, 콜레스테롤저하, 빈혈",활발하게 움직이며 흡반의 흡착력이 센것이 좋다,머리와 다리를 분리시켜 눈을 제거하고 머리를 뒤집어 내장을 제거하고 다리도 뒤집어 입을 제거해준 뒤 굵은소금이나 밀가루에 끈기가 없어질때까지 문질러 씻어준다,회로 먹기도 하고 구이나 볶음으로도 사용한다,다리와 머리를 분리해서 위생팩에 담아 냉동 보관한다,
64,오징어,"7월, 8월, 9월, 10월, 11월",1~5℃,95Kcal,당근,,"피로회복, 콜레스테롤저하, 시력보호",투명하고 윤기가 나며 살이 탄력있는 것이 신선하다,몸통을 갈라 내장과 뼈를 제거한 후 흐르는 물에 씻는다,회로 먹기도 하고 볶음이나 튀김으로도 사용한다,손질한 오징어는 밀폐용기에 담아 냉장보관한다,
65,가자미,"10월, 11월, 12월",1~5℃,129Kcal,무,,"스트레스, 골다공증, 시력보호","눈이 붙어있지 않은 쪽의 배가 하얗고 탄력이 있으며, 비늘이 단단하게 붙어있는 것이 좋다",가자미 머리를 왼손으로 단단하게 잡고 칼끝을 세워 꼬리쪽 부터 비늘을 긁어내고 머리 윗쪽을 벌려 아가미와 내장을 제거한 뒤 지느러미도 떼어내고 깨끗하게 씻어준다,회로 먹기도 하고 구이나 찜으로도 사용한다,가자미를 말리면 더 오랫동안 보관할 수 있다,
66,갈치,"7월, 8월, 9월, 10월",0~5℃,149Kcal,무,,"성장발육, 두뇌발달, 소화촉진",은비늘에 광탱이 있고 흠집이 없는 것이 좋다,은비늘을 칼등으로 긁어 제거하고 씻어 토막내 사용한다,"구이, 찜, 찌개 등으로 사용한다",먹기좋은 크기로 토막내어 밀폐용기에 담아 냉장 또는 냉동 보관한다,
67,대구,연중제철,-20℃~0℃,86Kcal,"쑥갓, 파",,"피로회복, 시력보호, 면역력",생선 표면이 광택이 나고 아가미가 붉은 것을 고른다,머리와 지느러미를 제거하고 배를갈라 내장을 제거해 준다,전이나 탕으로 사용한다,손질한 생선은 소금을 뿌려 랩으로 감싸 냉장실이나 냉동실에 보관한다,
68,명태,"12월, 1월",1~5℃,80Kcal,무,,"숙취해소, 면역력, 성장발육, 피로회복",눈이 선명하고 아가미가 붉은색을 띤 것을 고른다,비늘은 칼로 긁어 제거하고 배를 갈라 내장을 제거하고 먹기좋은 크기로 토막내 사용한다,"찌개나 맑은 탕, 조림 등으로 사용한다",먹기 좋은 크기로 토막내 밀폐용기에 담아 냉장보관하고 2~3일 안에 먹는게 좋다,"명태는 건조법, 동결법에 따라 이름이 다르다. 
생태-갓잡아 올린 명태 / 동태-얼린 명태 / 코다리- 내장과 아가미를 빼고 코에 꿰어 반건한 명태 / 북어 -바싹 말린 명태/ 황태 -얼렸다 녹이기를 반복해 노랗게 말린 명태 / 노가리 - 바싹 말린 새끼 명태"
69,병어,"5월, 6월, 7월, 8월",1~5℃,130Kcal,무,,"피로회복, 면역력, 콜레스테롤저하",표면에 윤기가 흐르며 눌렀을때 살이 탄탄한 것이 좋다,표면을 칼등으로 긁어 정리하고 아가미쪽으로 내장을 제거한다,"구이, 탕, 조림 등으로 사용한다",소금을 고루 뿌려 랩으로 씌워 밀봉하여 냉장실이나 냉동실에 보관한다,
70,우럭,"4월, 5월",0~5℃,99Kcal,레몬,,"피로회복, 피부미용, 스트레스",눈이 선명하고 아가미가 붉은색을 띤 것을 고른다,비늘은 칼로 긁어 제거하고 지느러미와 내장을 제거한다,"탕이나 찜, 회 등으로 사용한다",위생팩에 넣어 냉장 보관한다,
71,삼치,"10월, 11월 12월, 1월, 2월",-20℃~0℃,108Kcal,채소,,"두뇌발달, 항암효과, 고혈압",등쪽에 푸른빛이 선명하고 껍질에 윤기가 나며 눌렀을때 살이 탄탄한 것이 좋다,"머리, 꼬리, 지느러미를 제거하고 용도에 맞게 토막내어 사용한다","구이, 조림 등으로 사용한다",소금을 고루 뿌려 랩으로 씌워 밀봉하여 냉장실이나 냉동실에 보관한다,
73,장어,"5월, 6월, 7월",-20℃~0℃,170Kcal,가지,복숭아,"피로회복, 면역력, 피부미용, 항암효과",등의 색이 진한 녹색이나 회흑색을 띠고 전체적으로 미끈한 것이 좋다,등을 따라 칼집을 내고 내장과 뼈를 발라낸다. 얼음물에 담가 진액을 제거한다,"구이나 찜, 탕으로 사용한다",먹기 좋은 크기로 손질하여 냉장실이나 냉동실에 보관한다,
75,조기,"9월, 10월, 11월, 12월, 1월, 2월",-20℃~0℃,169Kcal,무,,"피로회복, 성장발육, 시력보호",비늘이 은빛이며 살짝 눌렀을때 살이 탄력있는 것이 좋다,"비늘과 지느러미, 내장을 제거한다","구이, 찜, 조림등으로 사용한다",물기를 제거한 뒤 랩으로 씌워 밀봉하여 냉장실이나 냉동실에 보관한다,
76,문어,"11월, 12월, 1월, 2월, 3월, 4월",-20℃~0℃,74Kcal,부추,,"피로회복, 콜레스테롤저하, 시력보호",다리에 흡반이 뚜렷한 것이 좋다,"머리를 뒤집어 내장을 제거하고, 다리를 뒤집어 입을 제거해 준 뒤 굵은소금이나 밀가루를 넣고 주물러 진액을 빼고 물로 헹궈준다","숙회로 먹는게 대중적이며 조림, 샐러드 등으로 사용한다",물기를 제거한 뒤 밀봉하여 냉장실이나 냉동실에 보관한다,
77,한치,"6월, 7월, 8월",1~5℃,81Kcal,채소,,"콜레스테롤저하, 숙취해소, 시력보호",윤기가 나며 살이 탄력있는 것이 신선하다,몸통을 갈라 내장과 뼈를 제거한 후 흐르는 물에 씻는다,회로 먹기도 하고 구이나 찜 등으로도 사용한다,손질한 오징어는 밀폐용기에 담아 냉장보관한다,
78,새우,"9월, 10월, 11월, 12월",-20℃~0℃,93Kcal,아욱,,"콜레스테롤저하, 성장발육, 두뇌발달, 항암효과",몸이 투명하고 껍질이 단단한 것이 좋다,이쑤시개를 이용해 등쪽 두번째 마디를 들어올려 내장을 제거하고 흐르는 물에 씻어준다,"구이, 찜, 튀김 등으로 사용한다",손질한 새우는 물기를 제거하고 냉동보관한다,
80,가리비,"11월, 12월",1~5℃,80Kcal,채소,,"피로회복, 시력보호, 성장발육",껍질이 닫혀 있는 것으로 골라야 한다,"해감이 안된 가리비는 소금물에 30분 이상 담가 해감을 하고, 솔을 이용해 불순물을 제거 한 뒤 깨끗이 씻는다",국물요리나 구이 등으로 사용한다,손질한 가리비는 냉장실에 보관하거나 냉동실에 보관한다. 냉장실에 보관할 경우 빨리 조리해서 먹는 것이 좋다,
81,굴,"9월, 10월, 11월, 12월",1~5℃,73Kcal,레몬,,"콜레스테롤저하, 빈혈, 다이어트",모양이 뭉게지지 않고 둥그스름하고 통통한 것이 좋다,소금물에 담가 불순물을 제거하고 맑은 물로 2~3회 헹군 뒤 물기를 빼준다,"회로 먹거나 튀김, 국 등으로 사용한다",작게 소분해 냉동실에 보관한다,
82,꼬막,"11월, 12월, 1월, 2월, 3월",-20℃~0℃,63Kcal,마늘,,"성장발육, 숙취해소, 빈혈",껍질이 온전하고 물결 무늬가 선명한 것이 좋다,소금물에 1시간 이상 담가 해감한 뒤 문질러 씻어준다,무침이나 전 등으로 사용한다. 삶을 때 한쪽 방향으로만 저어야 살이 한쪽껍질에 붙는다,살만 발라내어 냉동실에 보관한다. 2주 이내에 조리해서 먹는 것이 좋다,
83,바지락,"2월, 3월, 4월",-20℃~0℃,73Kcal,된장,,"빈혈, 콜레스테롤저하, 골다공증, 숙취해소",윤기가 나고 껍질이 깨지지 않은 것이 좋다,소금물에 1시간 이상 담가 해감한 뒤 문질러 씻어준다,찌개나 국에 시원한 맛을 내는데 사용한다,위생팩에 넣어 냉동실에 보관한다,
85,전복,"8월, 9월, 10월",1~5℃,79Kcal,우유,,"피로회복, 콜레스테롤저하, 시력보호",무게가 무겁고 살이 통통하며 상처가 없는 것이 좋다,"솔을 이용해 문질러 불순물을 제거하고, 칼이나 숟가락으로 껍질과 살을 분리한 뒤 내장과 입을 제거하고 사용한다",회나 죽 등으로 사용한다,손질한 전복은 위생팩에 담아 냉동실에 보관한다,
87,홍합,"10월, 11월, 12월",0~5℃,82Kcal,대합,,"피로회복, 숙취해소, 콜레스테롤저하",살이 통통하고 비린내가 없으며 살이 붉은 빛이 나는 것이 좋다,홍합의 입에 붙은 분순물들을 떼어내고 물에 2~3회 문질러 씻어준다. 깨진 홍합은 버리는게 좋다,"탕, 국, 찌개 등으로 사용한다",위생팩에 소분해서 냉동실에 보관한다,
88,미더덕,"4월, 5월",-20℃~0℃,46Kcal,콩나물,,"콜레스테롤저하, 항암효과, 고혈압",몸통이 통통하고 황갈색이 나 붉은 색을 띠는게 좋다,막을 터트려 물기를 빼내고 소금물에 불순물이 나오지 않을 때 까지 씻어 흐르는 물에 헹궈준 뒤 물기를 뺀다,"찜, 찌개 등으로 사용한다",위생팩에 소분해서 냉동실에 보관한다,
89,다시마,"7월, 8월, 9월",1~5℃,110Kcal,무,,"콜레스테롤저하, 고혈압, 변비",광택이 있으면서 통통한 것이 좋다,물에 담아 20~30분 정도 불려 씻어 사용한다,국물을 우려낼때 주로 사용하며 부각이나 조림으로 사용한다,물기를 뺀 후 냉장고에 보관한다,
90,미역,연중제철,1~5℃,126Kcal,죽순,,"골다공증, 빈혈, 변비",광택이 있으면서 짙은 녹색을 띠는 것이 좋다,굵은 소금을 넣고 문질러 씻어 준 뒤 물에 2~3회 헹궈서 사용한다,국이나 초무침 등으로 사용한다,먹기 좋은 크기로 잘라 냉장고에 보관한다,
91,파래,"12월, 1월, 2월",18~22℃,11Kcal,오이,,"변비, 골다공증, 빈혈, 콜레스테롤저하",광택이 있으면서 선명한 녹색을 띠는 것이 좋다,불순물을 제거하고 물에 흔들어 2~3회 씻어준다,전이나 무침으로 사용한다,위생팩에 넣어 냉장 보관한다,
92,매생이,"11월, 12월, 1월, 2월, 3월, 4월, 5월",-20℃~0℃,13Kcal,식용유,,"숙취해소, 다이어트, 골다공증, 빈혈",진한 녹색이며 윤기가 있고 매끄러운 것이 좋다,물에 담아 흔들어 씻는다,"국물요리에 사용하며, 전이나 무침에도 사용한다",먹을분량을 구분해 위생팩에 담아 냉동 보관한다,
93,톳,"3월, 4월, 5월",1~5℃,14Kcal,오이,,"빈혈, 다이어트, 혈관질환, 성인병",광택이 있으면서 굵기가 일정한 것이 좋다,"20~30분 정도 물에 불려 불순물을 제거하고, 끓는 물에 살짝 데쳐 사용한다","나물이나 무침, 샐러드 등에 사용한다",세척한 톳은 지퍼팩에 담아 냉장 보관한다,
94,김,연중제철,-20℃~0℃,19Kcal,,,"시력보호, 다이어트, 콜레스테롤저하, 변비","두꺼우면서 광택이 있고, 물에 넣었을 때 바로 풀어지는 것이 좋은 김이다",이물질을 제거하고 사용한다,"기름과 소금 양념으로 구워 반찬으로 곁들이며 무침, 부각 등으로도 사용한다",지퍼백에 넣어 냉동 보관한다,
95,쌀,연중제철,10~15℃,372Kcal,콩,,"콜레스테롤저하, 성인병, 당뇨",쌀알이 고르며 크기가 일정한 것이 좋다,물에 담궈 문질러 2~3회 문질러 씻은 뒤 헹궈낸다,"밥, 죽, 떡 등으로 사용한다",밀봉하여 서늘한 곳에 보관한다,
96,현미,연중제철,10~15℃,360Kcal,흑미,,"콜레스테롤저하, 당뇨, 다이어트",쌀알이 부서지지 않으며 가루가 많지 않은 것을 고른다,물에 담궈 문질러 2~3회 문질러 씻은 뒤 헹궈낸다,밥이나 떡 등으로 사용한다,밀봉하여 서늘한 곳에 보관한다,
98,찹쌀,연중제철,10~15℃,374Kcal,대추,,"피로회복, 변비, 콜레스테롤 저하",쌀알이 부서지지 않으며 가루가 많지 않은 것을 고른다,"물에 담궈 첫번째 물을 바로 버리고, 2번째 물 부터 싹싹 문질러 3~4회 문질러 씻은 뒤 헹궈낸다","약식이나 떡, 미음 등으로 사용한다",밀봉하여 서늘한 곳에 보관한다,
103,옥수수,"7월, 8월, 9월",-20℃~0℃,142Kcal,우유,,"피로회복, 콜레스테롤저하, 피부미용, 항암효과",알이 촘촘하게 박혀있으며 살짝 눌렀을때 탄력있는 것이 좋다,껍질을 제거하고 흐르는 물에 헹궈준다,"삶아서 먹거나 샐러드, 수프 등으로 사용한다",껍질에 싼채로 밀봉하여 냉동실에 보관한다,
107,완두콩,"4월, 5월, 6월",0~5℃,79Kcal,"밀, 달걀, 돼지고기",,"피로회복, 콜레스테롤저하, 피부미용",짙은 녹색을 띠고 만졌을때 단단한 것이 좋다,흐르는 물에 2~3회 씻어준다,"쌀과 섞어 밥을 짓거나 스프, 미음등으로 사용한다",깍지를 벗겨내고 냉장실이나 냉동실에 보관한다,
111,검은콩,10월,10~15℃,421Kcal,미역,,"콜레스테롤저하, 탈모예방, 변비, 피부미용",형태가 일정한 윤기가 나는 것이 좋다,흐르는 물에 2~3회 씻어 준다,"볶아서 먹거나, 쌀과 섞어 밥을 지을 때 사용한다",밀봉하여 서늘한 곳에 보관한다,
112,병아리콩,연중제철,10~15℃,364Kcal,,,"콜레스테롤저하, 다이어트, 변비",연한 노란색에 형태가 온전 한 것이 좋다,깨끗이 씻어 하루정도 물에 불려 사용한다,"쌀과 섞어 밥을 짓기도 하고, 끓여 수프를 만들어 먹거나 삶아 샐러드 등에 사용한다",밀봉하여 서늘한 곳에 보관한다,
114,팥,10월,10~15℃,356Kcal,찹쌀,,"탈모예방, 콜레스테롤저하, 빈혈, 변비",붉은색이 선명하고 알의 크기가 고른 것이 좋다,흐르는 물에 2~3회 씻어 준다,죽 또는 빵이나 떡의 속재료로 사용한다,밀봉하여 서늘한 곳에 보관한다,
115,돼지고기안심,연중제철,1~5℃,186Kcal,표고버섯,,"피로회복, 빈혈, 성장발육, 피부미용",붉은 빛을 띠며 돼지냄새가 안나는 것이 좋다,칼등으로 살짝 두들겨주면 고기가 수축되는걸 방지할 수 있다,"찜, 볶음, 구이 등으로 사용한다",밀봉하여 냉장실이나 냉동실에 보관한다,
116,돼지고기등심,연중제철,1~5℃,155Kcal,부추,,"피로회복, 빈혈, 성장발육, 피부미용",붉은 빛을 띠며 윤기가 나는 것이 좋다,"키친타월에 올려 핏물을 제거하고 후추, 청주 등을 이용해 냄새를 제거한다","돈까스, 탕수육, 스테이크 등으로 사용한다",밀봉하여 냉장실이나 냉동실에 보관한다,
117,돼지고기목심,연중제철,1~5℃,180Kcal,연근,,"피로회복, 빈혈, 성장발육, 피부미용",붉은 빛을 띠며 살이 탄력있는 것이 좋다,칼등으로 살짝 두들겨주면 고기가 수축되는걸 방지할 수 있다,구이나 볶음 등으로 사용한다,밀봉하여 냉장실이나 냉동실에 보관한다,
118,돼지고기앞다리,연중제철,1~5℃,181Kcal,키위,,"피로회복, 빈혈, 성장발육, 피부미용",붉은 빛을 띠며 살이 탄력있는 것이 좋다,"키친타월에 올려 핏물을 제거하고 후추, 청주 등을 이용해 냄새를 제거한다","불고기나 장조림, 찌개, 구이 등으로 사용한다",밀봉하여 냉장실이나 냉동실에 보관한다,
119,돼지고기갈비,연중제철,1~5℃,249Kcal,감자,,"피로회복, 빈혈, 성장발육, 피부미용",뼈에 붙은 고기의 결이 매끈하고 탄력있는 것이 좋고 기름이 많지 않은 것이 좋다,표면에 붙은 기름기를 제거하고 찬물에 담가 핏물을 제거한다,양념하여 구이나 찜 등으로 사용한다,밀봉하여 냉장실이나 냉동실에 보관한다,
120,소고기안심,연중제철,1~5℃,148Kcal,버섯,,"피로회복, 빈혈, 성장발육, 면역력",붉은빛이 선명하며 윤기가 나는 것이 좋다,"키친타월에 올려 핏물을 제거하고 후추, 청주 등을 이용해 냄새를 제거한다",구이나 스테이크 등으로 사용한다,밀봉하여 냉장실이나 냉동실에 보관한다,
121,소고기등심,연중제철,1~5℃,378Kcal,상추,,"피로회복, 빈혈, 성장발육, 면역력",붉은빛이 선명하며 윤기가 나고 마블링이 고르게 분포된 것이 좋다,"키친타월에 올려 핏물을 제거하고 후추, 청주 등을 이용해 냄새를 제거한다","구이나 불고기, 전골 등으로 사용한다",밀봉하여 냉장실이나 냉동실에 보관한다,
122,소고기사태,연중제철,1~5℃,129Kcal,채소,,"피로회복, 빈혈, 성장발육, 면역력",붉은빛이 선명하며 윤기가 나는 것이 좋다,찬물에 30분 이상 담가 핏물을 제거한다,"찜, 조림 등에 이용한다",밀봉하여 냉장실이나 냉동실에 보관한다,
